0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,48,127,174,187,180,140,65,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,29,198,250,184,126,118,146,211,252,196,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3,192,244,63,1,0,0,0,2,65,234,214,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3,176,249,91,0,0,0,0,0,0,112,255,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5,49,36,8,3,5,0,0,0,54,255,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2,4,0,0,0,102,253,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,172,223,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,42,241,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,10,209,228,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3,158,249,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,126,254,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,70,254,252,207,159,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6,55,73,111,210,245,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,15,223,186,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,250,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,244,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,197,225,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,2,0,0,0,0,10,228,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,46,143,194,210,230,229,186,113,17,1,148,253,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,135,251,235,153,105,82,108,187,252,235,131,250,163,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,255,218,29,0,0,0,0,1,72,241,255,221,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,255,166,1,0,0,0,0,9,114,246,255,247,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,127,248,149,68,58,85,162,232,234,118,86,248,224,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,55,144,205,221,202,160,80,13,0,0,104,253,207,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,0,0,0,0,0,0,1,127,248,215,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,210,250,176,68,24,2,1,0,2,13,50,100,133,145,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,78,179,241,252,222,211,185,221,229,185,128,65,9,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
